Trial ID,Range/Row,Plot ID,Location Code,Count,Planting Area,Research Station,Trial Info,Entry Number,ABBRC1,ABBRC2,ABBRC3,Material ID,Admin Code,Responsible Store,CGenes,Material Lot,Plot Barcode,Delay in Planting,Material Store,MINT Container ID,Container ALT ID
16DRGJFG652P10A,/,2010,P10A,,,PHGS,GJ FG    652,10,NK8840BGT,,,16RC000787,MIXL:GO2000994,PHGS,Bt11;GA21B;TC1507,,GO208281018,,,1FB3169B-F22B-42CA-A784-9DC4A4119B1E,CNCHYNS945616
16DRGJFG652P10A,/,1010,P10A,,,PHGS,GJ FG    652,10,NK8840BGT,,,16RC000787,MIXL:GO2000994,PHGS,Bt11;GA21B;TC1507,,GO208281032,,,44AE76F4-B33F-4ABE-868E-47EE9CA17E7D,CNCHYNS945666
16DRGJFG652P10C,/,2010,P10C,,,PHGS,GJ FG    652,10,NK8840BGT,,,16RC000787,MIXL:GO2000994,PHGS,Bt11;GA21B;TC1507,,GO208280962,,,9602E44D-261C-4C00-8FD5-CB75E7D26430,CNCHYNS945546
16DRGJFG652P10C,/,1010,P10C,,,PHGS,GJ FG    652,10,NK8840BGT,,,16RC000787,MIXL:GO2000994,PHGS,Bt11;GA21B;TC1507,,GO208280976,,,55E9A89D-57FA-464D-A248-27D8BC8B60B1,CNCHYNS945589
16DRGJFG652P11D,/,2010,P11D,,,PHGS,GJ FG    652,10,NK8840BGT,,,16RC000787,MIXL:GO2000994,PHGS,Bt11;GA21B;TC1507,,GO208280990,,,D1B863A4-0582-4B21-904E-C0D4BDA56342,CNCHYNS945607
16DRGJFG652P11D,/,1010,P11D,,,PHGS,GJ FG    652,10,NK8840BGT,,,16RC000787,MIXL:GO2000994,PHGS,Bt11;GA21B;TC1507,,GO208281004,,,DC71CFFF-BECB-4B55-BBB6-214DAE13D6C5,CNCHYNS945588
16DRGJFG652P13B,/,1010,P13B,,,PHBB,GJ FG    652,10,NK8840BGT,,,16RC000787,MIXL:GO2000994,PHGS,Bt11;GA21B;TC1507,,GO208281060,,,64C0100B-1611-499B-A0A6-32067C0AB179,CNCHYNS945594
16DRGJFG652P13B,/,2010,P13B,,,PHBB,GJ FG    652,10,NK8840BGT,,,16RC000787,MIXL:GO2000994,PHGS,Bt11;GA21B;TC1507,,GO208281046,,,D7C16C7F-9051-4F99-B16C-90F2BAB65F51,CNCHYNS945612
16DRGJFG652P10A,/,1001,P10A,,,PHGS,GJ FG    652,1,SS6410BtGt -Lot 6,,,16RC000788,MIXL:GO2000995,PHGS,Bt11;GA21B,,GO208281041,,,00E73102-7BB9-4C64-89D1-37C3DF03E215,CNCHYNS945646
16DRGJFG652P10A,/,2001,P10A,,,PHGS,GJ FG    652,1,SS6410BtGt -Lot 6,,,16RC000788,MIXL:GO2000995,PHGS,Bt11;GA21B,,GO208281027,,,1D039472-08DD-4541-A31F-BF7203E2F56B,CNCHYNS945661
